"seriesType","seriesID","seriesName","year","monthNumber","unit","value"
"Average retail price","APU0000712211","Lettuce, iceberg","2025",6,"Dollars per pound",1.378
"Average retail price","APU0000712311","Tomatoes, field grown","2025",6,"Dollars per pound",1.737
"Average retail price","APU0000713111","Orange juice, frozen concentrate","2025",6,"Dollars per 16 oz.",4.493
"Average retail price","APU0000714233","Beans, dried","2025",6,"Dollars per pound",1.588
"Average retail price","APU0000718311","Potato chips","2025",6,"Dollars per 16 oz.",6.815
"Average retail price","APU0000FL2101","Lettuce, romaine","2025",6,"Dollars per pound",2.951
"Consumer Price Index","CUUR0000SAF1","Food","2025",6,"Base 1982-84=100",339.498
"Consumer Price Index","CUUR0000SAF11","Food at home","2025",6,"Base 1982-84=100",313.028
"Consumer Price Index","CUUR0000SAF1131","Fresh fruits and vegetables","2025",6,"Base 1982-84=100",394.344
"Consumer Price Index","CUUR0000SEFK","Fresh fruits","2025",6,"Base 1982-84=100",414.441
"Consumer Price Index","CUUR0000SEFK01","Apples","2025",6,"Base 1982-84=100",362.831
"Consumer Price Index","CUUR0000SEFK02","Bananas","2025",6,"Base 1982-84=100",214.951
"Consumer Price Index","CUUR0000SEFK03","Citrus fruits","2025",6,"Base December 1997=100",295.414
"Consumer Price Index","CUUR0000SEFK04","Other fresh fruits","2025",6,"Base December 1997=100",142.167
"Consumer Price Index","CUUR0000SEFL","Fresh vegetables","2025",6,"Base 1982-84=100",372.611
"Consumer Price Index","CUUR0000SEFL01","Potatoes","2025",6,"Base 1982-84=100",433.034
"Consumer Price Index","CUUR0000SEFL02","Lettuce","2025",6,"Base 1982-84=100",388.879
"Consumer Price Index","CUUR0000SEFL03","Tomatoes","2025",6,"Base 1982-84=100",331.249
"Consumer Price Index","CUUR0000SEFL04","Other fresh vegetables","2025",6,"Base 1982-84=100",372.648
"Consumer Price Index","CUUR0000SEFM","Processed fruits and vegetables","2025",6,"Base December 1997=100",206.788
"Consumer Price Index","CUUR0000SEFM02","Frozen fruits and vegetables","2025",6,"Base December 1997=100",185.055
"Consumer Price Index","CUUR0000SEFN","Juices and nonalcoholic drinks","2025",6,"Base December 1997=100",180.04
"Consumer Price Index","CUUR0000SEFV","Food away from home","2025",6,"Base 1982-84=100",382.75
"Consumer Price Index","CUUR0000SS11031","Oranges, including tangerines","2025",6,"Base 1982-84=100",606.752
"Consumer Price Index","CUUR0000SS13031","Canned fruits","2025",6,"Base December 1997=100",211.275
"Consumer Price Index","CUUR0000SS14011","Frozen vegetables","2025",6,"Base 1982-84=100",258.583
"Consumer Price Index","CUUR0000SS14021","Canned vegetables","2025",6,"Base December 1997=100",241.096
"Consumer Price Index","CUUR0000SS14022","Dried beans, peas, and lentils","2025",6,"Base December 1997=100",242.189
"Consumer Price Index","CUUR0000SS18042","Olives, pickles, relishes","2025",6,"Base December 1997=100",198.883
"Consumer Price Index","CUUR0000SS18064","Prepared salads","2025",6,"Base 1982-84=100",159.233
"Producer Price Index","PCU3114233114235","Dried fruits and vegetables","2025",6,"Base 1982=100",300.959
"Producer Price Index","WPU01","All farm products","2025",6,"Base 1982=100",238.1
"Producer Price Index","WPU0111","All fresh fruits and melons","2025",6,"Base 1982=100",164.8
"Producer Price Index","WPU011101","All citrus fruits","2025",6,"Base 1982=100",361.9
"Producer Price Index","WPU01110101","Grapefruits","2025",6,"Base 1982=100",664.1
"Producer Price Index","WPU01110104","Lemons","2025",6,"Base 1982=100",289.7
"Producer Price Index","WPU01110105","Oranges, Valencia","2025",6,"Base 1982=100",269.6
"Producer Price Index","WPU01110106","Oranges, navel","2025",6,"Base 1982=100",299.4
"Producer Price Index","WPU01110108","Tangerines","2025",6,"Base 1991=100",449.3
"Producer Price Index","WPU011102","All other fruits and berries","2025",6,"Base 1982=100",146.9
"Producer Price Index","WPU01110201","Plums and fresh prunes","2025",6,"Base 1991=100",630.9
