Product volumes (million pounds)              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more or less detail, click the appropriate outline symbol, 1 or 2, to the left of the Column letter A above.  
To expand or collapse data, click the + or - outline symbols.",,,,,,Back to content page,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 6
,Whey products (net) 3,,,,,,"1,728","1,605","1,559","1,707","1,890","1,871","2,129","2,225","2,032","1,971","2,225","2,279","3,397","3,466","3,611","3,347","3,447","3,392","3,429","3,421","3,186","3,276","3,383","3,304"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dry whey (net),,,,,832,727,677,775,851,800,966,"1,018",825,766,814,851,900,792,755,753,769,834,781,807,766,731,704,730
,,,Human,,,,"1,105",979,"1,041",992,949,959,"1,064","1,073","1,024",951,961,951,946,916,856,961,932,"1,007",982,962,940,870,886,886
,,,Animal,,,,83,67,74,93,86,82,46,61,58,51,52,59,53,37,14,17,23,28,18,16,19,22,29,53
,,,Less use in other dairy products,,,,356,319,439,310,184,241,144,116,257,235,199,159,99,161,115,224,187,202,219,170,193,161,212,208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Whey protein concentrate (net),,,,,232,210,195,225,265,257,324,321,360,366,399,392,432,463,505,438,435,454,465,445,441,429,432,440
,,,25-49.9 percent protein,,,,NA,NA,NA,272,272,276,297,258,296,261,244,241,255,259,283,220,177,185,199,181,180,162,155,167
,,,50-89.9 percent protein,,,,NA,NA,NA,86,84,108,130,136,147,154,184,189,205,238,257,273,291,304,315,309,298,301,296,335
,,,Human,,,,290,290,274,,,,,,,,,,,,,,,,,,,,,
,,,Animal,,,,44,46,39,,,,,,,,,,,,,,,,,,,,,
,,,Less use in other dairy products,,,,102,126,118,133,91,127,104,73,83,49,29,39,27,35,35,55,34,35,49,46,36,35,19,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Whey protein isolate (net),,,,,NA,NA,NA,21,26,26,30,38,41,51,59,59,63,87,81,100,110,115,120,118,112,130,131,141
,,,Whey protein isolate (gross),,,,NA,NA,NA,22,28,28,31,39,44,52,61,61,65,87,81,101,111,117,122,120,112,130,131,141
,,,Less use in other dairy products,,,,NA,NA,NA,2,2,2,1,1,3,1,2,2,2,0,0,1,1,2,1,2,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Whey permeate (net),,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,899,"1,012","1,025",979,"1,009",835,877,784,815,908,939,904
,,,Whey permeate (gross),,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,"1,023","1,035",990,"1,020","1,058","1,107",893,922,988,"1,021","1,000"
,,,Less use in other dairy products,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,10,11,11,223,230,110,106,80,82,96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reduced lactose and mineral whey (net),,,,,102,118,99,59,59,74,75,91,80,76,77,78,88,80,82,59,57,56,55,54,56,57,64,36
,,,Human,,,,76,91,83,43,40,44,45,45,37,31,29,31,30,28,28,35,31,28,22,22,22,22,30,8
,,,Animal,,,,38,39,42,41,45,54,47,53,52,52,56,57,60,62,66,35,32,33,35,35,35,36,37,36
,,,Less use in other dairy products,,,,13,12,26,25,25,24,16,7,8,7,8,10,2,10,11,10,6,5,2,2,2,1,3,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Condensed sweet whey solids (net),,,,,55,14,4,1,1,9,0,12,0,1,1,13,36,27,47,16,17,13,15,32,32,32,43,13
,,,Human,,,,102,69,108,115,91,79,101,111,104,91,89,99,81,89,92,122,128,107,109,126,109,124,120,95
,,,Animal,,,,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Less use in other dairy products,,,,61,68,104,114,90,70,101,99,104,90,88,85,44,62,45,106,111,93,94,94,77,91,77,82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lactose (net),,,,,471,496,547,605,660,705,735,744,726,711,875,886,979,"1,005","1,115","1,002","1,051","1,084","1,117","1,180",963,988,"1,071","1,039"
,,,Lactose (gross),,,,490,519,563,614,666,714,739,756,745,723,908,"1,000","1,026","1,041","1,133","1,049","1,099","1,124","1,158","1,227","1,120","1,122","1,112","1,106"
