"Table","Year","Data_item","Region","State","Value","Units"
"Milk cows",1972,"Milk cows, average inventory","Northeast","New Jersey",60,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Northeast","New York",920,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Northeast","Pennsylvania",684,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Northeast","Rhode Island",6.2,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Northeast","Vermont",195,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Northeast","Total region",2233.5,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Lake States","Michigan",427,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Lake States","Minnesota",932,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Lake States","Wisconsin",1831,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Lake States","Total region",3190,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Corn Belt","Illinois",282,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Corn Belt","Indiana",235,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Corn Belt","Iowa",454,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Corn Belt","Missouri",323,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Corn Belt","Ohio",436,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Corn Belt","Total region",1730,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Northern Plains","Kansas",168,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Northern Plains","Nebraska",168,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Northern Plains","North Dakota",126,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Northern Plains","South Dakota",177,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Northern Plains","Total region",639,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Appalachia","Kentucky",325,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Appalachia","North Carolina",163,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Appalachia","Tennessee",255,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Appalachia","Virginia",179,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Appalachia","West Virginia",43,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Appalachia","Total region",965,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Southeast","Alabama",117,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Southeast","Florida",198,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Southeast","Georgia",145,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Southeast","South Carolina",63,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Southeast","Total region",523,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Delta States","Arkansas",96,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Delta States","Louisiana",155,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Delta States","Mississippi",154,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Delta States","Total region",405,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Southern Plains","Oklahoma",136,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Southern Plains","Texas",358,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Southern Plains","Total region",494,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Mountain Region","Arizona",51,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Mountain Region","Colorado",76,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Mountain Region","Idaho",155,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Mountain Region","Montana",33,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Mountain Region","Nevada",13.8,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Mountain Region","New Mexico",30,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Mountain Region","Utah",77,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Mountain Region","Wyoming",14.6,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Mountain Region","Total region",450.4,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","West Coast","California",778,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","West Coast","Oregon",94,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","West Coast","Washington",184,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","West Coast","Total region",1056,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Other States","Alaska",1.7,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Other States","Hawaii",12.8,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","Other States","Total region",14.5,"Thousand head"
"Milk cows",1972,"Milk cows, average inventory","United States","Total region",11700,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northeast","Connecticut",54,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northeast","Delaware",12,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northeast","Maine",60,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northeast","Maryland",142,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northeast","Massachusetts",55,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northeast","New Hampshire",33,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northeast","New Jersey",56,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northeast","New York",903,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northeast","Pennsylvania",669,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northeast","Rhode Island",5.9,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northeast","Vermont",191,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northeast","Total region",2180.9,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Lake States","Michigan",423,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Lake States","Minnesota",911,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Lake States","Wisconsin",1810,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Lake States","Total region",3144,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Corn Belt","Illinois",267,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Corn Belt","Indiana",228,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Corn Belt","Iowa",425,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Corn Belt","Missouri",317,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Corn Belt","Ohio",421,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Corn Belt","Total region",1658,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northern Plains","Kansas",154,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northern Plains","Nebraska",164,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northern Plains","North Dakota",122,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northern Plains","South Dakota",176,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Northern Plains","Total region",616,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Appalachia","Kentucky",310,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Appalachia","North Carolina",155,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Appalachia","Tennessee",234,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Appalachia","Virginia",175,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Appalachia","West Virginia",42,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Appalachia","Total region",916,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Southeast","Alabama",105,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Southeast","Florida",202,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Southeast","Georgia",136,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Southeast","South Carolina",59,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Southeast","Total region",502,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Delta States","Arkansas",93,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Delta States","Louisiana",145,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Delta States","Mississippi",141,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Delta States","Total region",379,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Southern Plains","Oklahoma",130,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Southern Plains","Texas",355,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Southern Plains","Total region",485,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Mountain Region","Arizona",57,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Mountain Region","Colorado",75,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Mountain Region","Idaho",156,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Mountain Region","Montana",30,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Mountain Region","Nevada",13.8,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Mountain Region","New Mexico",30,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Mountain Region","Utah",74,"Thousand head"
"Milk cows",1973,"Milk cows, average inventory","Mountain Region","Wyoming",14.1,"Thousand head"
