"Year","Category","Data_item","Quantity","Units"
2010,"Butter","Butter",4.912,"Pounds per capita"
2011,"Butter","Butter",5.373,"Pounds per capita"
2012,"Butter","Butter",5.506,"Pounds per capita"
2013,"Butter","Butter",5.475,"Pounds per capita"
2014,"Butter","Butter",5.502,"Pounds per capita"
2015,"Butter","Butter",5.611,"Pounds per capita"
2016,"Butter","Butter",5.703,"Pounds per capita"
2017,"Butter","Butter",5.697,"Pounds per capita"
2018,"Butter","Butter",6.042,"Pounds per capita"
2019,"Butter","Butter",6.16,"Pounds per capita"
2020,"Butter","Butter",6.312,"Pounds per capita"
2021,"Butter","Butter",6.43,"Pounds per capita"
2022,"Butter","Butter",6.079,"Pounds per capita"
2023,"Butter","Butter",6.513,"Pounds per capita"
1975,"Dry skim milk products","Dry whole milk",0.1,"Pounds per capita"
1976,"Dry skim milk products","Dry whole milk",0.2,"Pounds per capita"
1977,"Dry skim milk products","Dry whole milk",0.2,"Pounds per capita"
1978,"Dry skim milk products","Dry whole milk",0.3,"Pounds per capita"
1979,"Dry skim milk products","Dry whole milk",0.3,"Pounds per capita"
1980,"Dry skim milk products","Dry whole milk",0.3,"Pounds per capita"
1981,"Dry skim milk products","Dry whole milk",0.4,"Pounds per capita"
1982,"Dry skim milk products","Dry whole milk",0.4,"Pounds per capita"
1983,"Dry skim milk products","Dry whole milk",0.4,"Pounds per capita"
1984,"Dry skim milk products","Dry whole milk",0.4,"Pounds per capita"
1985,"Dry skim milk products","Dry whole milk",0.4,"Pounds per capita"
1986,"Dry skim milk products","Dry whole milk",0.5,"Pounds per capita"
1987,"Dry skim milk products","Dry whole milk",0.5,"Pounds per capita"
1988,"Dry skim milk products","Dry whole milk",0.6,"Pounds per capita"
1989,"Dry skim milk products","Dry whole milk",0.5,"Pounds per capita"
1990,"Dry skim milk products","Dry whole milk",0.6,"Pounds per capita"
1991,"Dry skim milk products","Dry whole milk",0.4,"Pounds per capita"
1992,"Dry skim milk products","Dry whole milk",0.5,"Pounds per capita"
1993,"Dry skim milk products","Dry whole milk",0.4,"Pounds per capita"
1994,"Dry skim milk products","Dry whole milk",0.4,"Pounds per capita"
1995,"Dry skim milk products","Dry whole milk",0.4,"Pounds per capita"
1996,"Dry skim milk products","Dry whole milk",0.486,"Pounds per capita"
1997,"Dry skim milk products","Dry whole milk",0.385,"Pounds per capita"
1998,"Dry skim milk products","Dry whole milk",0.444,"Pounds per capita"
1999,"Dry skim milk products","Dry whole milk",0.396,"Pounds per capita"
2000,"Dry skim milk products","Dry whole milk",0.265,"Pounds per capita"
2001,"Dry skim milk products","Dry whole milk",0.099,"Pounds per capita"
2002,"Dry skim milk products","Dry whole milk",0.194,"Pounds per capita"
2003,"Dry skim milk products","Dry whole milk",0.183,"Pounds per capita"
2004,"Dry skim milk products","Dry whole milk",0.143,"Pounds per capita"
2005,"Dry skim milk products","Dry whole milk",0.152,"Pounds per capita"
2006,"Dry skim milk products","Dry whole milk",0.111,"Pounds per capita"
2007,"Dry skim milk products","Dry whole milk",0.165,"Pounds per capita"
2008,"Dry skim milk products","Dry whole milk",0.095,"Pounds per capita"
2009,"Dry skim milk products","Dry whole milk",0.252,"Pounds per capita"
2010,"Dry skim milk products","Dry whole milk",0.205,"Pounds per capita"
2011,"Dry skim milk products","Dry whole milk",0.214,"Pounds per capita"
2012,"Dry skim milk products","Dry whole milk",0.17,"Pounds per capita"
2013,"Dry skim milk products","Dry whole milk",0.162,"Pounds per capita"
2014,"Dry skim milk products","Dry whole milk",0.198,"Pounds per capita"
2015,"Dry skim milk products","Dry whole milk",0.334,"Pounds per capita"
2016,"Dry skim milk products","Dry whole milk",0.27,"Pounds per capita"
2017,"Dry skim milk products","Dry whole milk",0.349,"Pounds per capita"
